"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"PRKODE";"PRNTOE";"GPKODE";"THEMBT";"HPEMBT";"THEHHV";"XPEHHV";"HPGALG";"THHMA1";"HPHMA1";"HPHMH1";"THHMA2";"HPHMA2";"HPHMH2";"HPMPJN";"HPGVBL";"HPGVBB";"HPGIUD";"THHULI";"PRHULI";"HPINST";"THKEXT";"PRKEXT";"SourceCode"
"0051";"9";0;"";"90053524";FL;"90053516";"0073";"000004";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90053567";FL;"90053559";"0073";"000004";"0002";"000245";0.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90053605";"";"90053591";"0073";"";"0002";"";10.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90054059";"";"90054040";"0073";"";"0002";"";2.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90054172";"";"90054156";"0073";"";"0002";"";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90054334";"";"90054326";"0073";"000001";"0002";"000245";0.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90054393";"";"90054385";"0073";"";"0002";"";0.6;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90054571";"";"90054563";"0073";"";"0002";"";20.0;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90055004";"";"90054997";"0073";"";"0002";"";0.6;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90055101";"";"90055098";"0073";"";"0002";"000233";0.4;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90055160";"";"90055152";"0073";"";"0002";"000233";0.4;"0077";"";"";"0077";"";"";"";0.0;0.0;"";"1010";"";"";"1011";"";
"0051";"9";0;"";"90055217";ZAK 1000ML;"90055209";"0073";"000012";"0002";"000233";1000.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90055268";ZAK 1000ML;"90055241";"0073";"000012";"0002";"000233";1000.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
"0051";"9";0;"";"90055306";ZAK 1000ML;"90055292";"0073";"000012";"0002";"000233";1000.0;"0077";"";"00";"0077";"";"00";N;0.0;0.0;N;"1010";"";N;"1011";"";
